consumer_id,observation_start,observation_end,primary_platform,region,device_type,source_count,ecommerce_events,marketing_events,search_platform_events,social_events,session_count,active_days,total_interactions,searches,unique_search_terms,product_views,product_clicks,add_to_cart,wishlist_adds,purchases,total_spend,average_order_value,product_diversity,category_diversity,recency_days,repeat_purchase_rate,engagement_events,content_views,content_likes,content_saves,content_shares,ad_impressions,ad_clicks,ad_ctr,email_opens,email_clicks,campaign_engagements,campaign_conversions,campaign_conversion_rate,search_frequency_per_day,engagement_frequency_per_day,repeat_search_rate,commercial_intent_score,cross_category_interactions,social_engagements,text_topic_events,interest_term_count,visual_events,visual_object_detections,fitness_score,wellness_score,technology_score,fashion_score,travel_score,learning_score,entertainment_score,food_score,home_score,finance_score,dominant_behavioral_domain,identity_orientation_ground_truth,identity_strength_ground_truth,emerging_identity_ground_truth,identity_change_score_ground_truth,future_need_category_ground_truth,future_purchase_probability_ground_truth,future_purchase_30d_ground_truth,future_purchase_value_ground_truth
C00014,2026-05-01,2026-06-29,E-commerce,South,Mobile,3,35,20,4,19,14,5,78,18,10,26,15,7,1,2,244.4,122.2,8,3,12,0.531,24,10,3,2,1,18,1,0.0556,1,0,4,0,0.0,3.6,4.8,0.586,0.716,7,3,2,3,0,0,24.89,23.65,29.93,26.08,50.06,12.25,89.34,24.78,36.51,17.28,Entertainment,Entertainment & Social Experience Seeker,73.2,Entertainment & Social Experience Seeker,0.0,Entertainment & Experiences,0.294,0,0.0
C00015,2026-05-01,2026-06-29,Email,Central,Tablet,4,172,77,40,65,28,16,354,69,40,148,72,24,5,7,1348.76,192.68,11,4,9,0.844,106,68,17,8,5,88,5,0.0568,2,1,23,2,0.087,4.31,6.62,0.863,0.773,14,11,6,6,4,13,14.68,11.05,23.57,43.07,49.33,18.05,95.79,31.3,26.77,16.97,Entertainment,Entertainment & Social Experience Seeker,76.3,Entertainment & Social Experience Seeker,0.0,Entertainment & Experiences,0.3891,1,166.6
C00016,2026-05-01,2026-06-29,E-commerce,North,Desktop,3,50,19,7,17,23,4,93,22,13,44,22,9,1,3,540.74,180.25,13,4,21,0.65,25,20,5,2,1,11,1,0.0909,1,0,6,1,0.1667,5.5,6.25,0.423,0.732,8,2,1,5,4,13,15.04,19.94,26.73,41.6,50.36,26.49,98.4,36.19,19.72,6.13,Entertainment,Entertainment & Social Experience Seeker,87.6,Entertainment & Social Experience Seeker,5.3,Entertainment & Experiences,0.344,0,0.0
C00017,2026-05-01,2026-06-29,E-commerce,North,Desktop,4,5,2,0,1,3,5,8,3,2,6,3,1,0,0,0.0,0.0,7,4,12,0.0,6,12,3,2,1,16,1,0.0625,1,0,4,0,0.0,0.6,1.2,0.0,0.613,10,2,1,5,0,0,23.03,36.61,31.61,24.8,24.99,17.7,26.98,59.35,96.12,38.17,Home,Home & Lifestyle Optimizer,79.8,Home & Lifestyle Optimizer,5.2,Home & Lifestyle,0.3321,0,0.0
C00018,2026-05-01,2026-06-29,Email,West,Mobile,4,11,3,3,7,8,7,24,9,5,9,5,2,0,1,190.29,190.29,10,4,6,0.0,3,3,1,1,1,22,1,0.0455,3,1,3,0,0.0,1.29,0.43,0.0,0.553,8,3,2,5,0,0,25.93,30.03,94.09,19.93,15.29,58.95,27.86,26.12,28.04,47.42,Technology,Technology-Oriented Adopter,82.7,Technology-Oriented Adopter,0.0,Technology & Digital Tools,0.3401,0,0.0
C00019,2026-05-01,2026-06-29,E-commerce,East,Mobile,4,61,25,26,25,20,12,137,32,19,60,30,11,2,4,874.94,218.74,11,4,5,0.727,40,25,6,4,1,38,2,0.0526,3,1,9,1,0.1111,2.67,3.33,0.656,0.684,13,1,1,8,0,0,11.9,25.02,60.85,19.93,33.98,45.83,14.54,15.83,16.8,96.93,Finance,Finance-Aware Planner,75.3,Finance-Aware Planner,4.5,Finance & Planning,0.3803,0,0.0
C00020,2026-05-01,2026-06-29,E-commerce,Central,Mobile,3,175,57,13,68,38,17,313,66,37,132,71,26,7,10,1996.73,199.67,10,3,1,0.945,93,56,15,7,3,31,2,0.0645,6,2,19,2,0.1053,3.88,5.47,0.868,0.784,7,10,6,6,3,9,7.85,20.34,44.3,98.73,28.98,8.91,41.42,19.81,33.7,6.12,Fashion,Fashion & Lifestyle Explorer,77.8,Fashion & Lifestyle Explorer,0.0,Fashion & Lifestyle,0.3843,1,438.01
C00021,2026-05-01,2026-06-29,E-commerce,North,Mobile,3,12,3,4,8,14,6,27,3,2,9,5,2,1,1,82.97,82.97,5,4,2,0.0,11,5,5,1,0,10,1,0.1,2,1,7,1,0.1429,0.5,1.83,0.0,0.874,11,3,2,5,0,0,24.07,39.21,27.61,41.48,24.68,25.23,18.43,39.47,86.16,42.29,Home,Home & Lifestyle Optimizer,73.4,Home & Lifestyle Optimizer,1.8,Home & Lifestyle,0.3925,0,0.0
C00022,2026-05-01,2026-06-29,E-commerce,North,Desktop,4,62,21,35,24,34,13,142,26,16,70,45,16,1,5,1024.52,204.9,15,5,1,0.753,44,34,10,4,3,24,1,0.0417,4,1,12,1,0.0833,2.0,3.38,0.404,1.0,20,8,5,6,1,3,36.38,29.99,29.46,16.42,92.51,39.34,41.66,38.42,14.57,42.76,Travel,Travel & Adventure Explorer,79.4,Travel & Adventure Explorer,4.5,Travel & Experiences,0.3627,1,261.19
C00023,2026-05-01,2026-06-29,Email,West,Mobile,3,14,9,3,6,9,2,32,4,2,12,7,3,0,1,175.27,175.27,7,4,0,0.0,5,6,1,0,0,8,0,0.0,3,1,2,0,0.0,2.0,2.5,0.0,0.973,5,2,1,6,0,0,14.09,28.44,89.12,16.78,25.44,54.73,34.57,20.66,15.92,43.06,Technology,Technology-Oriented Adopter,81.1,Technology-Oriented Adopter,3.3,Technology & Digital Tools,0.4305,1,239.25
C00024,2026-05-01,2026-06-29,E-commerce,Central,Desktop,2,7,2,0,3,9,9,12,4,2,3,1,0,0,0,0.0,0.0,6,5,0,0.0,0,6,0,0,1,10,0,0.0,1,0,0,0,0.0,0.44,0.0,0.0,0.31,10,0,0,1,1,2,42.46,37.47,35.2,42.32,33.15,49.6,45.86,48.79,46.87,35.93,Learning,Balanced Multi-Interest Consumer,72.7,Balanced Multi-Interest Consumer,1.3,Lifestyle & Personal Development,0.3727,0,0.0
C00025,2026-05-01,2026-06-29,Social,West,Mobile,4,221,132,103,67,47,22,523,106,64,220,125,42,5,15,3397.32,226.49,14,5,8,0.965,143,97,26,13,5,26,1,0.0385,4,1,28,2,0.0714,4.82,6.5,0.819,0.752,20,9,5,5,0,0,19.55,10.94,23.24,41.66,51.08,24.52,87.19,39.94,20.63,28.07,Entertainment,Entertainment & Social Experience Seeker,75.1,Entertainment & Social Experience Seeker,0.0,Entertainment & Experiences,0.4169,0,0.0
C00026,2026-05-01,2026-06-29,E-commerce,South,Mobile,4,41,21,23,24,16,2,109,20,12,50,26,10,2,3,977.12,325.71,9,5,10,0.698,34,16,5,2,2,43,2,0.0465,4,1,8,1,0.125,10.0,17.0,0.505,0.833,8,2,1,5,2,6,46.43,68.02,38.88,23.68,15.34,18.3,28.94,89.95,41.05,11.89,Food,Food & Wellness Explorer,72.0,Home & Lifestyle Optimizer,40.4,Home & Lifestyle,0.3899,0,0.0
C00027,2026-05-01,2026-06-29,E-commerce,South,Desktop,4,10,2,6,3,9,2,21,1,1,12,6,2,0,1,175.43,175.43,7,2,26,0.0,6,5,0,0,0,13,0,0.0,2,1,1,0,0.0,0.5,3.0,0.0,1.0,4,1,1,5,0,0,22.98,30.65,29.87,76.28,46.09,32.31,50.99,28.1,29.11,21.9,Fashion,Fashion & Lifestyle Explorer,74.0,Entertainment & Social Experience Seeker,42.9,Entertainment & Experiences,0.4429,1,164.9
C00028,2026-05-01,2026-06-29,E-commerce,West,Mobile,2,54,23,12,25,47,26,114,22,13,44,22,8,1,3,757.24,252.41,9,4,5,0.655,31,18,3,1,1,34,2,0.0588,2,1,6,0,0.0,0.85,1.19,0.632,0.748,10,5,3,6,2,6,18.74,28.32,50.6,26.72,18.19,41.13,17.98,21.55,38.85,79.5,Finance,Finance-Aware Planner,72.9,Home & Lifestyle Optimizer,51.3,Home & Lifestyle,0.4762,1,394.48
C00029,2026-05-01,2026-06-29,Search,North,Mobile,3,23,10,0,7,13,10,36,9,5,17,9,3,1,1,147.84,147.84,8,4,2,0.0,21,9,4,2,1,10,1,0.1,3,1,6,1,0.1667,0.9,2.1,0.078,0.735,7,3,2,7,1,3,23.19,46.93,36.65,41.06,19.29,32.06,9.98,37.78,98.03,31.05,Home,Home & Lifestyle Optimizer,72.3,Home & Lifestyle Optimizer,0.2,Home & Lifestyle,0.4383,1,202.87
C00030,2026-05-01,2026-06-29,E-commerce,West,Tablet,3,66,32,4,22,30,17,124,23,13,50,26,10,2,3,307.33,102.44,9,4,10,0.725,32,24,7,2,1,18,1,0.0556,3,1,9,1,0.1111,1.35,1.88,0.628,0.753,3,2,1,6,1,3,29.85,27.58,32.7,100.0,29.12,12.09,39.29,16.04,29.74,22.53,Fashion,Fashion & Lifestyle Explorer,79.4,Fashion & Lifestyle Explorer,0.0,Fashion & Lifestyle,0.3663,1,182.9
C00031,2026-05-01,2026-06-29,E-commerce,North,Mobile,2,73,52,32,29,46,15,186,32,19,72,35,12,3,4,865.06,216.26,9,4,3,0.784,50,37,8,4,3,80,3,0.0375,4,1,12,1,0.0833,2.13,3.33,0.73,0.813,6,4,2,5,0,0,34.4,36.99,34.33,72.7,48.32,36.27,47.48,16.51,30.15,31.1,Fashion,Fashion & Lifestyle Explorer,75.8,Travel & Adventure Explorer,44.5,Travel & Experiences,0.688,1,282.6
C00032,2026-05-01,2026-06-29,E-commerce,West,Mobile,4,75,20,4,39,11,14,138,27,16,50,24,8,2,2,158.06,79.03,10,4,4,0.554,27,27,8,4,1,143,7,0.049,7,2,17,1,0.0588,1.93,1.93,0.64,0.69,5,11,6,5,5,14,27.06,36.37,40.9,23.87,33.23,74.85,33.2,37.22,23.66,43.07,Learning,Learning-Oriented Explorer,75.5,Balanced Multi-Interest Consumer,32.8,Lifestyle & Personal Development,0.4075,0,0.0
C00033,2026-05-01,2026-06-29,E-commerce,Central,Mobile,4,96,56,23,69,45,18,244,50,29,97,58,20,4,7,1157.75,165.39,13,4,5,0.902,74,48,13,7,3,21,1,0.0476,8,3,17,2,0.1176,2.78,4.11,0.712,0.763,14,11,7,6,2,6,92.93,92.56,37.01,27.17,23.69,7.36,22.28,76.5,35.33,14.52,Fitness,Health-Conscious Lifestyle Adopter,77.7,Health-Conscious Lifestyle Adopter,0.0,Fitness & Wellness,0.7078,1,319.68
C00034,2026-05-01,2026-06-29,Search,South,Tablet,4,2,1,1,1,2,2,5,0,0,0,0,0,0,1,204.3,204.3,6,3,3,0.0,1,7,1,1,0,6,0,0.0,1,0,1,0,0.0,0.0,0.5,0.0,0.218,4,3,2,5,1,3,28.22,41.18,32.18,46.36,22.25,12.05,24.0,37.28,82.02,39.59,Home,Home & Lifestyle Optimizer,75.2,Home & Lifestyle Optimizer,0.0,Home & Lifestyle,0.2667,0,0.0
C00035,2026-05-01,2026-06-29,E-commerce,North,Desktop,4,12,5,0,6,8,4,23,7,4,0,0,0,0,1,196.99,196.99,6,5,4,0.0,2,7,4,3,1,19,1,0.0526,2,1,6,0,0.0,1.75,0.5,0.128,0.324,19,5,3,6,3,9,18.9,35.7,70.2,21.82,17.49,48.54,18.8,16.88,20.11,89.21,Finance,Finance-Aware Planner,78.7,Technology-Oriented Adopter,26.8,Technology & Digital Tools,0.3863,0,0.0
C00036,2026-05-01,2026-06-29,E-commerce,North,Mobile,3,101,22,19,60,41,12,202,40,24,80,38,16,2,6,630.48,105.08,12,5,6,0.865,60,41,13,5,2,10,1,0.1,2,1,15,1,0.0667,3.33,5.0,0.739,0.79,5,5,3,6,4,12,84.33,87.72,24.67,34.46,7.26,25.96,28.77,84.64,38.76,30.07,Wellness,Health-Conscious Lifestyle Adopter,74.3,Food & Wellness Explorer,19.7,Food & Nutrition,0.3822,0,0.0
C00037,2026-05-01,2026-06-29,E-commerce,North,Mobile,4,39,10,22,12,12,7,83,13,7,36,19,7,1,2,368.16,184.08,8,3,9,0.456,25,14,2,1,1,37,2,0.0541,5,2,6,1,0.1667,1.86,3.57,0.364,0.838,6,8,5,5,1,3,19.7,27.6,54.26,21.22,10.82,30.91,15.15,22.19,14.75,91.54,Finance,Finance-Aware Planner,72.5,Finance-Aware Planner,0.0,Finance & Planning,0.4013,1,260.92
C00038,2026-05-01,2026-06-29,E-commerce,North,Desktop,3,233,58,0,88,76,29,368,67,39,151,74,24,5,8,1470.03,183.75,10,4,2,0.852,102,66,16,8,5,65,2,0.0308,1,0,18,1,0.0556,2.31,3.52,0.882,0.828,8,3,2,6,0,0,5.73,26.11,82.89,19.62,29.35,49.22,31.84,19.41,23.87,77.13,Technology,Finance-Aware Planner,74.2,Technology-Oriented Adopter,29.8,Technology & Digital Tools,0.4792,0,0.0
C00039,2026-05-01,2026-06-29,E-commerce,West,Mobile,2,7,2,0,2,5,2,11,3,2,5,2,1,0,0,0.0,0.0,8,5,28,0.0,5,1,0,0,1,5,0,0.0,2,1,1,0,0.0,1.5,2.5,0.0,0.548,8,1,1,4,1,3,28.4,42.69,44.67,23.97,27.82,75.42,31.7,24.71,32.73,47.01,Learning,Learning-Oriented Explorer,64.8,Balanced Multi-Interest Consumer,30.1,Lifestyle & Personal Development,0.4636,0,0.0
C00040,2026-05-01,2026-06-29,E-commerce,South,Desktop,2,138,39,48,56,35,23,281,54,30,122,66,26,3,10,1633.68,163.37,11,3,6,0.866,84,57,15,8,5,30,1,0.0333,5,2,18,2,0.1111,2.35,3.65,0.846,0.908,4,8,5,4,5,16,54.13,81.81,19.58,12.49,30.11,22.44,25.96,100.0,40.62,20.23,Food,Food & Wellness Explorer,76.1,Food & Wellness Explorer,0.1,Food & Nutrition,0.2959,1,215.41
C00041,2026-05-01,2026-06-29,E-commerce,North,Mobile,3,98,37,38,46,29,5,219,43,25,93,52,16,4,5,888.47,177.69,9,4,1,0.815,59,41,12,5,2,36,2,0.0556,6,2,16,1,0.0625,8.6,11.8,0.797,0.798,6,4,2,5,4,11,20.0,28.14,82.83,9.23,26.33,57.17,31.55,25.67,29.35,69.13,Technology,Technology-Oriented Adopter,82.0,Finance-Aware Planner,23.4,Finance & Planning,0.3919,0,0.0
C00042,2026-05-01,2026-06-29,Social,South,Desktop,3,58,37,39,31,36,8,165,32,19,63,31,11,2,3,934.92,311.64,7,4,3,0.605,47,30,8,3,3,27,1,0.037,6,2,11,1,0.0909,4.0,5.88,0.77,0.689,4,8,4,6,0,0,35.1,24.9,20.37,40.24,51.71,22.12,80.59,34.45,28.87,24.09,Entertainment,Entertainment & Social Experience Seeker,76.8,Balanced Multi-Interest Consumer,33.3,Lifestyle & Personal Development,0.325,1,515.25
C00043,2026-05-01,2026-06-29,E-commerce,West,Mobile,2,20,10,17,6,14,2,53,13,8,30,16,6,1,2,175.04,87.52,8,5,0,0.512,23,9,2,0,0,8,0,0.0,1,0,2,0,0.0,6.5,11.5,0.402,0.793,17,4,2,6,1,3,25.33,14.26,35.78,45.16,36.63,29.04,99.11,17.41,21.71,32.51,Entertainment,Entertainment & Social Experience Seeker,74.9,Entertainment & Social Experience Seeker,0.0,Entertainment & Experiences,0.3708,0,0.0
C00044,2026-05-01,2026-06-29,Email,North,Mobile,4,258,106,131,74,51,29,569,115,67,236,124,48,9,15,2371.63,158.11,15,4,3,0.914,157,107,30,13,6,62,3,0.0484,1,0,33,3,0.0909,3.97,5.41,0.869,0.761,5,7,4,4,0,0,31.66,27.57,20.49,18.03,89.09,26.29,29.19,33.0,14.63,29.99,Travel,Travel & Adventure Explorer,71.9,Travel & Adventure Explorer,0.0,Travel & Experiences,0.3426,0,0.0
C00045,2026-05-01,2026-06-29,Search,South,Desktop,2,52,18,35,39,18,3,144,24,14,52,27,8,1,3,943.42,314.47,6,4,9,0.675,38,31,9,2,1,28,1,0.0357,0,0,10,1,0.1,8.0,12.67,0.785,0.755,7,6,3,3,3,8,83.56,69.05,28.84,37.08,24.62,30.28,35.14,56.83,33.16,34.25,Fitness,Health-Conscious Lifestyle Adopter,76.8,Balanced Multi-Interest Consumer,40.1,Lifestyle & Personal Development,0.4416,1,510.66
C00046,2026-05-01,2026-06-29,Email,West,Mobile,4,45,16,32,27,18,13,120,23,13,33,14,5,1,1,166.98,166.98,9,4,1,0.0,26,25,4,3,2,32,1,0.0312,5,1,6,0,0.0,1.77,2.0,0.631,0.629,3,8,4,4,0,0,36.94,38.56,36.17,42.41,39.26,39.82,32.88,46.26,62.0,32.78,Home,Balanced Multi-Interest Consumer,72.8,Home & Lifestyle Optimizer,30.3,Home & Lifestyle,0.4979,0,0.0
C00047,2026-05-01,2026-06-29,E-commerce,East,Mobile,3,14,7,6,10,6,4,37,5,3,13,8,3,0,1,180.85,180.85,5,5,7,0.0,7,5,1,2,1,119,7,0.0588,5,2,10,1,0.1,1.25,1.75,0.0,0.876,15,9,5,9,2,6,19.42,29.0,37.42,97.76,36.22,25.52,51.4,22.25,34.91,36.84,Fashion,Fashion & Lifestyle Explorer,85.3,Fashion & Lifestyle Explorer,0.5,Fashion & Lifestyle,0.3822,0,0.0
C00048,2026-05-01,2026-06-29,Search,Central,Desktop,4,34,18,5,18,11,8,75,8,5,39,19,6,1,2,524.47,262.24,8,4,15,0.51,17,17,6,3,1,90,5,0.0556,2,1,12,1,0.0833,1.0,2.12,0.0,1.0,9,8,5,6,3,9,19.26,27.32,63.67,4.84,11.37,31.39,24.68,19.23,27.07,92.67,Finance,Finance-Aware Planner,77.1,Finance-Aware Planner,0.0,Finance & Planning,0.3618,1,439.25
C00049,2026-05-01,2026-06-29,Email,East,Desktop,4,220,170,72,155,54,23,617,129,75,255,146,52,15,18,2085.93,115.88,12,4,10,0.964,185,120,33,15,8,57,4,0.0702,10,4,41,4,0.0976,5.61,8.04,0.914,0.768,11,3,2,6,10,32,52.55,89.91,17.72,27.76,16.76,18.39,29.13,99.91,27.43,20.91,Food,Food & Wellness Explorer,78.1,Food & Wellness Explorer,0.0,Food & Nutrition,0.3311,0,0.0
C00050,2026-05-01,2026-06-29,Social,East,Mobile,2,141,104,41,109,72,24,395,64,36,142,62,19,5,5,1167.89,233.58,14,3,2,0.79,100,71,15,5,2,29,1,0.0345,3,1,17,1,0.0588,2.67,4.17,0.841,0.754,10,8,4,4,1,2,15.34,17.29,26.63,26.16,54.33,26.31,63.07,17.36,23.12,21.69,Entertainment,Entertainment & Social Experience Seeker,69.3,Travel & Adventure Explorer,35.5,Travel & Experiences,0.4102,0,0.0
C00051,2026-05-01,2026-06-29,E-commerce,North,Mobile,4,59,27,3,10,17,7,99,17,10,36,14,4,1,1,104.47,104.47,9,4,5,0.0,25,24,6,4,1,15,1,0.0667,5,1,8,1,0.125,2.43,3.57,0.441,0.563,10,3,2,6,2,5,22.87,17.62,29.68,61.74,41.63,26.8,70.3,27.95,30.21,13.13,Entertainment,Entertainment & Social Experience Seeker,72.2,Fashion & Lifestyle Explorer,33.2,Fashion & Lifestyle,0.4784,1,65.95
C00052,2026-05-01,2026-06-29,Search,Central,Mobile,4,16,5,2,10,9,4,33,5,3,2,1,0,0,0,0.0,0.0,4,4,15,0.0,3,8,3,1,1,11,0,0.0,3,1,4,0,0.0,1.25,0.75,0.184,0.329,3,2,1,4,0,0,33.41,13.65,70.95,26.78,16.73,46.11,18.81,26.98,39.81,68.09,Technology,Technology-Oriented Adopter,67.5,Finance-Aware Planner,25.4,Finance & Planning,0.3956,1,244.07
C00053,2026-05-01,2026-06-29,E-commerce,East,Mobile,4,99,58,35,56,48,25,248,48,28,100,51,20,2,7,1518.49,216.93,9,4,6,0.926,70,45,13,6,3,40,2,0.05,3,1,16,1,0.0625,1.92,2.8,0.865,0.757,9,4,2,7,3,9,33.73,36.39,23.71,26.27,91.49,38.07,33.07,27.94,23.07,28.01,Travel,Travel & Adventure Explorer,80.2,Travel & Adventure Explorer,0.0,Travel & Experiences,0.3986,1,297.6
C00054,2026-05-01,2026-06-29,Social,North,Mobile,3,77,21,12,28,25,7,138,25,14,57,33,12,2,5,642.61,128.52,13,4,6,0.751,38,29,8,3,2,19,1,0.0526,1,0,9,1,0.1111,3.57,5.43,0.407,0.89,12,7,4,5,4,13,23.18,26.07,35.41,93.5,35.16,22.82,50.79,26.79,49.76,24.37,Fashion,Fashion & Lifestyle Explorer,87.7,Fashion & Lifestyle Explorer,1.4,Fashion & Lifestyle,0.3821,0,0.0
